"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HHDI","GROSSADJ","USD_CAP","A","1970",4105.49595053855,
"USA","HHDI","GROSSADJ","USD_CAP","A","1971",4436.84881459084,
"USA","HHDI","GROSSADJ","USD_CAP","A","1972",4771.30763990778,
"USA","HHDI","GROSSADJ","USD_CAP","A","1973",5284.99203072582,
"USA","HHDI","GROSSADJ","USD_CAP","A","1974",5748.87098991108,
"USA","HHDI","GROSSADJ","USD_CAP","A","1975",6341.29675758516,
"USA","HHDI","GROSSADJ","USD_CAP","A","1976",6840.43510358299,
"USA","HHDI","GROSSADJ","USD_CAP","A","1977",7442.22174507125,
"USA","HHDI","GROSSADJ","USD_CAP","A","1978",8217.86953631378,
"USA","HHDI","GROSSADJ","USD_CAP","A","1979",9026.17585493057,
"USA","HHDI","GROSSADJ","USD_CAP","A","1980",9945.43520283147,
"USA","HHDI","GROSSADJ","USD_CAP","A","1981",10948.4055293729,
"USA","HHDI","GROSSADJ","USD_CAP","A","1982",11655.9127759261,
"USA","HHDI","GROSSADJ","USD_CAP","A","1983",12395.4728911421,
"USA","HHDI","GROSSADJ","USD_CAP","A","1984",13563.2393842483,
"USA","HHDI","GROSSADJ","USD_CAP","A","1985",14291.9599297292,
"USA","HHDI","GROSSADJ","USD_CAP","A","1986",15026.0521765143,
"USA","HHDI","GROSSADJ","USD_CAP","A","1987",15740.7134486067,
"USA","HHDI","GROSSADJ","USD_CAP","A","1988",16957.7757986787,
"USA","HHDI","GROSSADJ","USD_CAP","A","1989",18041.5000060634,
"USA","HHDI","GROSSADJ","USD_CAP","A","1990",19018.8026548779,
"USA","HHDI","GROSSADJ","USD_CAP","A","1991",19555.4426971167,
"USA","HHDI","GROSSADJ","USD_CAP","A","1992",20624.0516109948,
"USA","HHDI","GROSSADJ","USD_CAP","A","1993",21234.0876549281,
"USA","HHDI","GROSSADJ","USD_CAP","A","1994",22008.9288569205,
"USA","HHDI","GROSSADJ","USD_CAP","A","1995",22882.9205290561,
"USA","HHDI","GROSSADJ","USD_CAP","A","1996",23758.4072610246,
"USA","HHDI","GROSSADJ","USD_CAP","A","1997",24715.9282856703,
"USA","HHDI","GROSSADJ","USD_CAP","A","1998",26049.7112191024,
"USA","HHDI","GROSSADJ","USD_CAP","A","1999",27068.2398613816,
"USA","HHDI","GROSSADJ","USD_CAP","A","2000",28790.6066544381,
"USA","HHDI","GROSSADJ","USD_CAP","A","2001",29947.8323113332,
"USA","HHDI","GROSSADJ","USD_CAP","A","2002",31110.5416124047,
"USA","HHDI","GROSSADJ","USD_CAP","A","2003",32335.8753415042,
"USA","HHDI","GROSSADJ","USD_CAP","A","2004",33954.9402411496,
"USA","HHDI","GROSSADJ","USD_CAP","A","2005",35225.3217305815,
"USA","HHDI","GROSSADJ","USD_CAP","A","2006",37235.512221486,
"USA","HHDI","GROSSADJ","USD_CAP","A","2007",38658.0885825467,
"USA","HHDI","GROSSADJ","USD_CAP","A","2008",39899.3358310649,
"USA","HHDI","GROSSADJ","USD_CAP","A","2009",39550.2807349303,
"USA","HHDI","GROSSADJ","USD_CAP","A","2010",40622.3632384273,
"USA","HHDI","GROSSADJ","USD_CAP","A","2011",42177.71937904,
"USA","HHDI","GROSSADJ","USD_CAP","A","2012",43949.712959221,
"USA","HHDI","GROSSADJ","USD_CAP","A","2013",43920.2809800867,
"USA","HHDI","GROSSADJ","USD_CAP","A","2014",45959.9557005117,
"USA","HHDI","GROSSADJ","USD_CAP","A","2015",47515.8520431367,
"USA","HHDI","GROSSADJ","USD_CAP","A","2016",48550.8042292858,
"USA","HHDI","GROSSADJ","USD_CAP","A","2017",50444.0778832857,
"USA","HHDI","GROSSADJ","USD_CAP","A","2018",53122.795138592,
