year,TOT_USD_CAP,OOPEXP_USD_CAP,COMPULSORY_USD_CAP,VOLUNTARY_USD_CAP,unemp,income,alc,elderly,life_exp,life_exp65
1970,326.961,121.691,121.618,205.343,4.933333,4105.49595053855,9.5,9.806000000000001,70.9,15.05
1971,357.98800000000006,126.70700000000001,136.44899999999998,221.53900000000002,5.9583330000000005,4436.8488145908395,9.8,9.901,71.2,15.049999999999999
1972,397.097,136.477,151.828,245.269,5.616667,4771.30763990778,9.6,10.014,71.3,15.05
1973,439.30199999999996,149.239,170.72400000000002,268.578,4.891667,5284.99203072582,9.8,10.158,71.5,15.149999999999999
1974,495.11400000000003,160.731,200.048,295.066,5.591667,5748.870989911079,10.0,10.315999999999999,72.1,15.45
1975,560.75,172.53099999999998,233.112,327.638,8.466666,6341.29675758516,10.1,10.509,72.7,15.85
1976,638.851,186.424,261.985,376.866,7.716667,6840.4351035829895,10.1,10.675999999999998,73.0,15.85
1977,726.2410000000001,203.65599999999998,294.325,431.916,7.066667,7442.22174507125,9.8,10.847999999999999,73.4,16.1
1978,808.8839999999999,215.72,331.74800000000005,477.13599999999997,6.066667,8217.86953631378,10.1,11.008,73.5,16.2
1979,908.9630000000001,232.44,375.534,533.428,5.8333330000000005,9026.17585493057,10.2,11.168,73.9,16.4
1980,1036.3,255.896,434.865,601.436,7.141667,9945.43520283147,10.4,11.314,73.7,16.2
1981,1191.537,284.814,500.236,691.302,7.6,10948.4055293729,10.4,11.427,74.1,16.450000000000003
1982,1329.6689999999999,312.737,551.686,777.9830000000001,9.708333,11655.912775926101,10.3,11.562999999999999,74.5,16.6
1983,1451.945,336.278,601.672,850.273,9.616667,12395.472891142099,10.2,11.703,74.6,16.5
1984,1590.6670000000001,366.798,648.222,942.445,7.525,13563.239384248302,10.0,11.821,74.7,16.55
1985,1735.156,401.977,698.745,1036.412,7.191667,14291.959929729199,9.9,11.943,74.7,16.5
1986,1847.773,431.469,757.743,1090.03,6.991667,15026.052176514298,9.8,12.08,74.7,16.6
1987,1990.5439999999999,452.565,821.7589999999999,1168.7839999999999,6.191667,15740.713448606699,9.7,12.228,74.9,16.7
1988,2210.695,491.68800000000005,883.5319999999999,1327.1629999999998,5.491667,16957.7757986787,9.4,12.321,74.9,16.65
1989,2440.0589999999997,513.132,975.9939999999999,1464.066,5.266667,18041.5000060634,9.2,12.431,75.1,16.9
1990,2700.355,552.361,1085.25,1615.105,5.616667,19018.8026548779,9.3,12.517999999999999,75.3,17.0
1991,2915.953,556.622,1217.277,1698.6760000000002,6.816667,19555.442697116698,8.7,12.575,75.5,17.200000000000003
1992,3113.8459999999995,558.169,1342.963,1770.8829999999998,7.508333,20624.0516109948,8.7,12.614,75.7,17.3
1993,3299.975,554.3969999999999,1459.52,1840.455,6.9,21234.087654928102,8.4,12.659,75.5,17.1
1994,3441.954,539.798,1575.461,1866.493,6.0833330000000005,22008.9288569205,8.3,12.667,75.7,17.25
1995,3598.3779999999997,543.852,1663.424,1934.954,5.608333,22882.9205290561,8.1,12.682,75.7,17.25
1996,3747.6240000000003,558.116,1732.5610000000001,2015.0629999999999,5.4166669999999995,23758.4072610246,8.2,12.674000000000001,76.1,17.35
1997,3905.402,591.868,1798.668,2106.734,4.95,24715.9282856703,8.1,12.618,76.5,17.55
1998,4083.053,640.9590000000001,1826.7020000000002,2256.351,4.508333,26049.711219102403,8.1,12.55,76.7,17.6
1999,4289.565,672.215,1898.934,2390.631,4.216667,27068.2398613816,8.2,12.470999999999998,76.7,17.6
2000,4557.151,704.865,2013.809,2543.342,3.9916669999999996,28790.6066544381,8.3,12.429,76.7,17.5
2001,4908.715,723.5880000000001,2216.303,2692.4120000000003,4.733333,29947.832311333197,8.3,12.384,76.9,17.7
2002,5326.081,762.36,2403.73,2922.3509999999997,5.775,31110.5416124047,8.3,12.35,77.0,17.75
2003,5735.513000000001,812.2339999999999,2576.0789999999997,3159.434,5.991667,32335.875341504197,8.4,12.362,77.1,17.9
2004,6094.191,848.668,2757.413,3336.778,5.533333,33954.9402411496,8.5,12.364,77.6,18.25
2005,6443.258000000001,892.7280000000001,2924.6279999999997,3518.63,5.066667,35225.3217305815,8.5,12.402000000000001,77.6,18.25
2006,6806.911999999999,916.988,3139.8979999999997,3667.015,4.616667,37235.512221486,8.6,12.455,77.8,18.549999999999997
2007,7157.338000000001,963.9789999999999,3308.7670000000003,3848.57,4.616667,38658.0885825467,8.7,12.557,78.1,18.7
2008,7395.885,971.9789999999999,3496.375,3899.51,5.775,39899.335831064906,8.7,12.752,78.1,18.7
2009,7669.630999999999,958.914,3698.353,3971.278,9.266666,39550.2807349303,8.7,12.915999999999999,78.5,19.0
2010,7922.1990000000005,970.586,3840.691,4081.509,9.616667,40622.3632384273,8.6,13.085999999999999,78.6,19.0
2011,8131.465999999999,996.3939999999999,3946.468,4184.998,8.95,42177.71937904,8.7,13.272,78.7,19.1
2012,8404.937,1017.221,4071.131,4333.806,8.066667,43949.712959221004,8.9,13.743,78.8,19.2
2013,8610.599,1034.4,4210.808,4399.791,7.375,43920.280980086696,8.8,14.124,78.8,19.2
