"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","ALCOHOL","TOT","LT_CAP15","A","1960",7.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1961",7.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1962",8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1963",8.1,
"USA","ALCOHOL","TOT","LT_CAP15","A","1964",8.4,
"USA","ALCOHOL","TOT","LT_CAP15","A","1965",8.6,
"USA","ALCOHOL","TOT","LT_CAP15","A","1966",8.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1967",9,
"USA","ALCOHOL","TOT","LT_CAP15","A","1968",9.3,
"USA","ALCOHOL","TOT","LT_CAP15","A","1969",9.5,
"USA","ALCOHOL","TOT","LT_CAP15","A","1970",9.5,
"USA","ALCOHOL","TOT","LT_CAP15","A","1971",9.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1972",9.6,
"USA","ALCOHOL","TOT","LT_CAP15","A","1973",9.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1974",10,
"USA","ALCOHOL","TOT","LT_CAP15","A","1975",10.1,
"USA","ALCOHOL","TOT","LT_CAP15","A","1976",10.1,
"USA","ALCOHOL","TOT","LT_CAP15","A","1977",9.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1978",10.1,
"USA","ALCOHOL","TOT","LT_CAP15","A","1979",10.2,
"USA","ALCOHOL","TOT","LT_CAP15","A","1980",10.4,
"USA","ALCOHOL","TOT","LT_CAP15","A","1981",10.4,
"USA","ALCOHOL","TOT","LT_CAP15","A","1982",10.3,
"USA","ALCOHOL","TOT","LT_CAP15","A","1983",10.2,
"USA","ALCOHOL","TOT","LT_CAP15","A","1984",10,
"USA","ALCOHOL","TOT","LT_CAP15","A","1985",9.9,
"USA","ALCOHOL","TOT","LT_CAP15","A","1986",9.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","1987",9.7,
"USA","ALCOHOL","TOT","LT_CAP15","A","1988",9.4,
"USA","ALCOHOL","TOT","LT_CAP15","A","1989",9.2,
"USA","ALCOHOL","TOT","LT_CAP15","A","1990",9.3,
"USA","ALCOHOL","TOT","LT_CAP15","A","1991",8.7,
"USA","ALCOHOL","TOT","LT_CAP15","A","1992",8.7,
"USA","ALCOHOL","TOT","LT_CAP15","A","1993",8.4,
"USA","ALCOHOL","TOT","LT_CAP15","A","1994",8.3,
"USA","ALCOHOL","TOT","LT_CAP15","A","1995",8.1,
"USA","ALCOHOL","TOT","LT_CAP15","A","1996",8.2,
"USA","ALCOHOL","TOT","LT_CAP15","A","1997",8.1,
"USA","ALCOHOL","TOT","LT_CAP15","A","1998",8.1,
"USA","ALCOHOL","TOT","LT_CAP15","A","1999",8.2,
"USA","ALCOHOL","TOT","LT_CAP15","A","2000",8.3,
"USA","ALCOHOL","TOT","LT_CAP15","A","2001",8.3,
"USA","ALCOHOL","TOT","LT_CAP15","A","2002",8.3,
"USA","ALCOHOL","TOT","LT_CAP15","A","2003",8.4,
"USA","ALCOHOL","TOT","LT_CAP15","A","2004",8.5,
"USA","ALCOHOL","TOT","LT_CAP15","A","2005",8.5,
"USA","ALCOHOL","TOT","LT_CAP15","A","2006",8.6,
"USA","ALCOHOL","TOT","LT_CAP15","A","2007",8.7,
"USA","ALCOHOL","TOT","LT_CAP15","A","2008",8.7,
"USA","ALCOHOL","TOT","LT_CAP15","A","2009",8.7,
"USA","ALCOHOL","TOT","LT_CAP15","A","2010",8.6,
"USA","ALCOHOL","TOT","LT_CAP15","A","2011",8.7,
"USA","ALCOHOL","TOT","LT_CAP15","A","2012",8.9,
"USA","ALCOHOL","TOT","LT_CAP15","A","2013",8.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","2014",8.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","2015",8.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","2016",8.9,
"USA","ALCOHOL","TOT","LT_CAP15","A","2017",8.9,
